index,name,genre,area,lat,lon,weekday_r,weekend_r,note,address,google_maps_url,hours_status
11,サケサカナ太郎坊,居酒屋,中央区 春吉,33.5888943,130.4064247,"[""r(17, 30, 0, 0)""]","[""r(17, 30, 0, 0)""]",定休日: 日曜日,〒810-0003 福岡県福岡市中央区春吉３丁目１４−２５ 1F,https://www.google.com/maps?cid=4854943503475140539&hl=ja,ok
12,ビストロ アトリ ～BISTRO LA ATORI～,イタリアン・ビストロ,中央区 高砂,33.5818698,130.4054448,[],[],営業時間取得不可,〒810-0011 福岡県福岡市中央区高砂１丁目１−２３ 福岡東映ホテル,https://www.google.com/maps?cid=12008014149561503071&hl=ja,no_hours
13,やまみラーメン,ラーメン,博多区 堅粕,33.5966099,130.420815,"[""r(11, 0, 15, 0)""]","[""r(11, 0, 15, 0)""]",定休日: 月曜日,〒812-0043 福岡県福岡市博多区堅粕２丁目２０−８−５,https://www.google.com/maps?cid=5036486117878209701&hl=ja,ok
14,THE ROAM BAR,バー,中央区 白金,33.5774292,130.4047965,"[""r(17, 0, 2, 0)""]","[""r(17, 0, 2, 0)""]",,〒810-0012 福岡県福岡市中央区白金１丁目１０ １５KADONOビル 2階,https://www.google.com/maps?cid=15187025360388278793&hl=ja,ok
15,うえ田,レストラン,中央区 渡辺通,33.5878643,130.4036628,"[""r(12, 0, 14, 0)"", ""r(17, 0, 22, 0)""]","[""r(12, 0, 14, 0)"", ""r(17, 0, 22, 0)""]",定休日: 日曜日,〒810-0004 福岡県福岡市中央区渡辺通５丁目１６−４２,https://www.google.com/maps?cid=17204938569986919720&hl=ja,ok
16,稲・もつ鍋焼肉 笹丘店,焼き肉,中央区 笹丘,33.5673811,130.3761048,"[""r(17, 30, 23, 0)""]","[""r(17, 30, 23, 0)""]",定休日: 月曜日・火曜日,〒810-0034 福岡県福岡市中央区笹丘１丁目３４−１４−１,https://www.google.com/maps?cid=17063254598593669790&hl=ja,ok
17,一也ラーメン（いちなりラーメン）,ラーメン,東区 多の津,33.6277714,130.4438284,"[""r(11, 0, 15, 0)"", ""r(17, 0, 1, 45)""]","[""r(11, 0, 15, 0)"", ""r(17, 0, 1, 45)""]",,〒813-0034 福岡県福岡市東区多の津３丁目３−１,https://www.google.com/maps?cid=3714676908255043647&hl=ja,ok
18,咖喱&酒bar なちねぇ。,カレー,中央区 西中洲,33.5909087,130.4045259,[],[],営業時間取得不可,〒810-0002 福岡県福岡市中央区西中洲５−１５ セントラルパークタワー 4階Ｃ,https://www.google.com/maps?cid=226957946373841027&hl=ja,no_hours
19,お料理 うち山,レストラン,中央区 赤坂,33.5859497,130.3907952,"[""r(18, 0, 23, 0)""]","[""r(18, 0, 23, 0)""]",定休日: 日曜日,〒810-0042 福岡県福岡市中央区赤坂１丁目１−１７,https://www.google.com/maps?cid=15441888414929021984&hl=ja,ok
20,楽しいお酒とごはん genten.,居酒屋,中央区 赤坂,33.5867428,130.3906949,"[""r(18, 0, 23, 0)"", ""r(18, 0, 0, 0)""]","[""r(18, 0, 0, 0)"", ""r(18, 0, 23, 0)""]",定休日: 月曜日・火曜日,〒810-0042 福岡県福岡市中央区赤坂１丁目６−５ 松村ビル 2A,https://www.google.com/maps?cid=1233227633362379224&hl=ja,ok
